time (s),stimulus_on,orientation,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10
2.3,0,,0.247668633,0.207705296,0.278471141,0.130865762,0.170906035,0.302020438,0.217568961,0.236722606,0.250939992,0.205818443
2.4,0,,0.230596296,0.238375203,0.258964872,0.100935521,0.168538694,0.128683705,0.149339538,0.233151539,0.184043783,0.188076913
2.5,0,,0.162218263,0.249261599,0.197748672,0.142157767,0.153988094,0.321992363,0.207151649,0.257893401,0.209343305,0.291072274
2.6,0,,0.168900717,0.164685952,0.23954705,0.285589458,0.110170889,0.250383418,0.257647194,0.169143729,0.169620895,0.156980485
2.7,0,,0.163505312,0.155307776,0.201619803,0.209885295,0.342263146,0.300255282,0.249053281,0.190179571,0.261711195,0.209006077
2.8,0,,0.278278774,0.144984503,0.229206228,0.233865002,0.269233464,0.19215603,0.226317157,0.154188202,0.178316559,0.304747103
2.9,0,,0.224197386,0.156566126,0.183619323,0.289647866,0.252428699,0.186211081,0.201926719,0.186695093,0.16934575,0.169634794
3,0,,0.272360108,0.182828832,0.257559152,0.249631501,0.156053552,0.230805047,0.143415692,0.2538505,0.158848548,0.193398466
3.1,0,,0.221683682,0.141635191,0.175522481,0.185112622,0.271873516,0.219354473,0.187231513,0.248992829,0.138414682,0.296664263
3.2,0,,0.279084055,0.223503348,0.135736563,0.173626522,0.257962151,0.149868662,0.239120522,0.229269776,0.274635215,0.272895776
3.3,0,,0.207285827,0.211633274,0.335213482,0.186640857,0.298810265,0.165793754,0.220818167,0.189910136,0.192067285,0.239658463
3.4,0,,0.224546793,0.215505121,0.184968398,0.208858455,0.229393308,0.146387696,0.188554851,0.170727848,0.217183492,0.203166568
3.5,0,,0.128880823,0.286478374,0.114394201,0.285544508,0.141010569,0.222563438,0.186026452,0.210851368,0.089505231,0.177548625
3.6,0,,0.132707106,0.187023517,0.302809141,0.146085892,0.184140853,0.270439465,0.279601731,0.198865144,0.251157151,0.141913813
3.7,0,,0.159477152,0.262196456,0.162601899,0.164977549,0.153893423,0.187362906,0.262761396,0.357339561,0.194557638,0.127678752
3.8,0,,0.166681007,0.15430968,0.283701556,0.251973889,0.123807273,0.110983817,0.150920044,0.166740983,0.187527584,0.167956974
3.9,0,,0.104993884,0.157204876,0.19218156,0.139490678,0.173472307,0.229047413,0.207182614,0.229301444,0.168396651,0.218746129
4,0,,0.156780534,0.23635858,0.257922755,0.148247563,0.097601865,0.293551061,0.253873624,0.137847364,0.188834514,0.244282734
4.1,0,,0.187228475,0.173541583,0.185098478,0.198074006,0.283355081,0.273900931,0.321858851,0.247739973,0.120935042,0.247399125
4.2,0,,0.152749834,0.238927707,0.180061427,0.221909873,0.231398271,0.163822518,0.132524547,0.105867089,0.206363687,0.20151278
4.3,0,,0.094553098,0.252152336,0.265360308,0.176822245,0.24567536,0.224032266,0.168821969,0.217199855,0.01184411,0.157239413
4.4,0,,0.259999216,0.204802493,0.161116175,0.162188639,0.193740179,0.192359597,0.205324387,0.218647513,0.263412065,0.176843123
4.5,0,,0.187830761,0.232602953,0.196546407,0.204201461,0.227874311,0.369806692,0.202793422,0.167086985,0.270055995,0.19022534
4.6,0,,0.131352671,0.139524948,0.139731461,0.15096352,0.241072589,0.146202707,0.115733179,0.168066097,0.198297348,0.266142264
4.7,0,,0.185293441,0.249630025,0.186472751,0.170297482,0.245587326,0.138396397,0.192985336,0.191842611,0.193968546,0.147260543
4.8,0,,0.157092281,0.180872162,0.297227869,0.365062992,0.108388552,0.188925315,0.202149524,0.191268999,0.185867212,0.166058304
4.9,0,,0.23076242,0.245612031,0.099529675,0.252980151,0.116259466,0.193408022,0.244805406,0.217159867,0.194306303,0.205584373
5,1,45,0.20949166,0.170862183,0.267655655,0.166733549,0.143729629,0.386444378,0.284835855,0.186782198,0.260026302,0.19230347
5.1,1,45,0.225993186,0.370059932,0.370000635,0.292893984,0.30197212,0.409150373,0.278554334,0.214710873,0.246190844,0.240148169
5.2,1,45,0.441499713,0.5622351,0.397424997,0.402195083,0.37845603,0.558056662,0.390350323,0.39686938,0.338936768,0.537596248
5.3,1,45,0.469574755,0.616951534,0.398240738,0.43815231,0.370350967,0.697616907,0.446274682,0.438500204,0.498288169,0.697901885
5.4,1,45,0.490394573,0.799759519,0.436037065,0.590309748,0.419757458,0.779992012,0.509982046,0.459471447,0.570901071,0.839139164
5.5,1,45,0.602093021,0.908567521,0.560617638,0.60436038,0.596132511,0.981711558,0.487977891,0.621194365,0.627098119,0.977680762
5.6,1,45,0.631658483,1.055265176,0.634256155,0.61011962,0.564824074,1.090291761,0.680873764,0.671604734,0.616599628,1.031440685
5.7,1,45,0.616949216,1.219686703,0.669959363,0.689912156,0.64899765,1.120713522,0.6502437,0.681033367,0.657109947,1.152724287
5.8,1,45,0.614604079,1.188266584,0.756440616,0.67175779,0.678460174,1.209615291,0.669699167,0.664429216,0.698698684,1.141953225
5.9,1,45,0.589353629,1.144443443,0.701576263,0.768810054,0.747262995,1.235606809,0.714433864,0.681806089,0.729482027,1.256686522
6,1,45,0.596378823,1.251922696,0.599462587,0.697273014,0.706158563,1.17865977,0.799979859,0.633509874,0.600011883,1.341720953
6.1,1,45,0.695973766,1.175395287,0.775337966,0.67317722,0.672359512,1.192175906,0.655602111,0.657434012,0.67719197,1.223369121
6.2,1,45,0.623122899,1.116334107,0.635269777,0.722855104,0.658840011,1.143325403,0.657944662,0.748192735,0.638009029,1.059022679
6.3,1,45,0.696039151,0.948615785,0.597951139,0.677073443,0.5982172,1.030132376,0.569504949,0.649997963,0.712900573,1.064837726
6.4,1,45,0.465218118,0.958768831,0.518644988,0.550560472,0.515549222,0.898538447,0.552237529,0.545248912,0.685435661,0.889055535
6.5,1,45,0.533965824,0.686328883,0.431479763,0.588058227,0.542435443,0.83932247,0.517697162,0.511964309,0.455855578,0.876238432
6.6,1,45,0.50163338,0.652962558,0.417282657,0.37694687,0.455545364,0.710534477,0.42394583,0.413577581,0.47455504,0.726645277
6.7,1,45,0.362794797,0.547197531,0.350186342,0.265107763,0.471077411,0.443960555,0.426112907,0.357018523,0.380724214,0.594171133
6.8,1,45,0.316005493,0.333734589,0.309967552,0.250306284,0.265172928,0.280847193,0.32620787,0.242056796,0.218836525,0.295069626
6.9,1,45,0.080661937,0.121390705,0.149282671,0.28855193,0.148851098,0.192952547,0.24800731,0.217139725,0.150023091,0.219764686
7,0,,0.212989653,0.110693898,0.270357911,0.227058309,0.18050545,0.249415872,0.221063208,0.171581553,0.184227181,0.128801155
7.1,0,,0.199128926,0.180595977,0.217404507,0.265967168,0.189373656,0.178337476,0.22692221,0.189416299,0.159794936,0.184810822
7.2,0,,0.17354498,0.181344784,0.222330755,0.232938497,0.039170891,0.242502466,0.269062244,0.113579466,0.190359646,0.208662391
7.3,0,,0.179371759,0.192775483,0.16391533,0.110010405,0.209543749,0.114705031,0.21007273,0.224474735,0.275850613,0.229356812
7.4,0,,0.181611936,0.191327173,0.133555507,0.221239598,0.23369463,0.211383158,0.184456774,0.14293437,0.193432574,0.199552123
7.5,0,,0.08385093,0.149786056,0.247409274,0.288870812,0.174240087,0.211333344,0.137463171,0.157534185,0.21158233,0.19588713
7.6,0,,0.193650791,0.285926938,0.187782024,0.303207501,0.195061753,0.192739753,0.24510504,0.194009157,0.129136282,0.138705001
7.7,0,,0.15865263,0.21163975,0.181712812,0.191106018,0.243289095,0.182679848,0.323464933,0.280662882,0.243490549,0.128571206
7.8,0,,0.13612576,0.210865256,0.284058568,0.082330448,0.243391845,0.267248446,0.15260255,0.123711317,0.199231204,0.310930879
7.9,0,,0.264896033,0.261249348,0.261433625,0.287634257,0.276805935,0.194380642,0.218539558,0.245190706,0.324269187,0.151508569
8,0,,0.222346703,0.206881325,0.16281124,0.208463361,0.187680344,0.11831291,0.160702216,0.269569807,0.243434532,0.107436361
8.1,0,,0.249501568,0.206328308,0.174643003,0.253703001,0.262036908,0.153254922,0.185020555,0.207163055,0.104805963,0.200476553
8.2,0,,0.224122367,0.222912266,0.252755995,0.296070791,0.189371019,0.236725192,0.295204018,0.075449046,0.291145099,0.231915015
8.3,0,,0.126690665,0.332568312,0.178063912,0.078614161,0.057840721,0.19172121,0.109533499,0.225038756,0.226714431,0.272051543
8.4,0,,0.143234669,0.179675383,0.271194415,0.242586886,0.18567264,0.095734686,0.198556579,0.278544804,0.205683774,0.261715585
8.5,0,,0.241150396,0.209954914,0.15142536,0.192100944,0.20875487,0.296063305,0.336459841,0.18641247,0.274782301,0.271275756
8.6,0,,0.195368606,0.287994961,0.331482798,0.149764827,0.134175265,0.188698509,0.118943283,0.224613583,0.133500531,0.24507253
8.7,0,,0.290341918,0.221833204,0.187685042,0.102177236,0.124144316,0.253372675,0.143659626,0.280012161,0.207967985,0.206457333
8.8,0,,0.216799314,0.187169698,0.222145137,0.107464766,0.184624862,0.143847482,0.194408101,0.268073136,0.169055051,0.196185523
8.9,0,,0.190472259,0.222364553,0.228176403,0.193675348,0.211205196,0.307583173,0.345781395,0.297315059,0.146697555,0.112843057
9,0,,0.12228756,0.202596286,0.114443639,0.181448557,0.159131975,0.20951589,0.270979793,0.235201256,0.18482933,0.262182096
9.1,0,,0.226554312,0.181706621,0.160698301,0.258922657,0.185365532,0.261683732,0.285720227,0.12716129,0.20268075,0.160026834
9.2,0,,0.237761512,0.222359221,0.127687736,0.236006861,0.242723883,0.185604803,0.226685485,0.144706068,0.207502942,0.218740029
9.3,0,,0.166950098,0.191617092,0.206443605,0.057078309,0.146170928,0.162434302,0.289727758,0.194972534,0.223157011,0.187676484
9.4,0,,0.146985161,0.231356541,0.257696931,0.273208453,0.214706826,0.258215647,0.271185966,0.306294792,0.136170135,0.146339905
9.5,0,,0.232182945,0.199993215,0.166342967,0.34282398,0.227796229,0.208515651,0.241239882,0.190474005,0.139813453,0.128625088
9.6,0,,0.141468029,0.258751964,0.178533755,0.156006881,0.223078334,0.207369665,0.132419162,0.146897113,0.266865573,0.239083773
9.7,0,,0.195848597,0.244877548,0.12063838,0.251575328,0.133178728,0.230932602,0.133188725,0.255840859,0.183564809,0.232883505
9.8,0,,0.279556198,0.292197936,0.144640597,0.274104397,0.271789917,0.173417878,0.238961726,-0.00791114,0.186528796,0.258398236
9.9,0,,0.222038276,0.157525129,0.190013405,0.278729171,0.361709729,0.160559435,0.261191866,0.171035247,0.179185091,0.128619461
10,1,90,0.243509131,0.3037957,0.258380454,0.213494507,0.236071746,0.194671868,0.169750749,0.078389732,0.185622514,0.131218478
10.1,1,90,0.289314326,0.224676523,0.356849695,0.171884038,0.226834976,0.302286766,0.360788292,0.297851616,0.271271637,0.225682489
10.2,1,90,0.32419812,0.320405424,0.541470818,0.421636347,0.357951072,0.315736752,0.578304573,0.32550696,0.342969463,0.383750716
10.3,1,90,0.468533216,0.416769733,0.649717534,0.447219011,0.436987993,0.453370092,0.742449008,0.347977257,0.477466632,0.360487568
10.4,1,90,0.462316869,0.532435596,0.834274387,0.441775471,0.498310345,0.560693039,0.797033935,0.507888645,0.535856603,0.538056307
10.5,1,90,0.667456444,0.573437228,0.947685686,0.633107783,0.622432094,0.468378026,0.895331776,0.568296193,0.483099539,0.522146338
10.6,1,90,0.733331752,0.609381133,1.07506288,0.554345694,0.581220093,0.661972056,1.04650508,0.722177839,0.64999142,0.7147906
10.7,1,90,0.740008162,0.588794396,1.156665427,0.631861566,0.673973291,0.71425994,1.172793043,0.666988448,0.64773908,0.715519244
10.8,1,90,0.676902923,0.68589971,1.132893345,0.691401457,0.707766052,0.702847739,1.199309472,0.659213815,0.635445568,0.60036008
10.9,1,90,0.733839614,0.671331732,1.13299417,0.725443283,0.725781541,0.728767044,1.222485926,0.671483642,0.742679093,0.698175383
11,1,90,0.734060823,0.641964054,1.152540699,0.753240885,0.717325224,0.818569975,1.208334058,0.703610748,0.689842078,0.739634233
11.1,1,90,0.667419531,0.685778606,1.198542675,0.676784678,0.611018203,0.680213623,1.16386544,0.704884672,0.716037057,0.746073356
11.2,1,90,0.600768338,0.762539772,1.200438724,0.70197296,0.672126114,0.573502568,1.162234307,0.58333088,0.664586055,0.630151057
11.3,1,90,0.646526438,0.580058534,1.096221386,0.615064059,0.664974945,0.59529502,1.020847995,0.618652516,0.568474777,0.572729682
11.4,1,90,0.487283065,0.586338023,1.021995153,0.540263605,0.607451473,0.661591453,0.97099556,0.670593026,0.566378024,0.598237705
11.5,1,90,0.4414159,0.425832822,0.815522152,0.390819428,0.64052358,0.535982966,0.861829274,0.468153384,0.508109917,0.629409345
11.6,1,90,0.489099669,0.410856,0.580265444,0.480090365,0.464640641,0.428051489,0.714013584,0.381944259,0.494140339,0.377009336
11.7,1,90,0.321897802,0.368461655,0.465862985,0.419259699,0.388198344,0.311460038,0.564740163,0.444899513,0.297981428,0.382933756
11.8,1,90,0.275367013,0.177468769,0.409403913,0.257168466,0.354562487,0.333452813,0.315864129,0.35903299,0.291454233,0.23316342
11.9,1,90,0.169014258,0.208171122,0.24162816,0.110336629,0.162471179,0.201907514,0.244517716,0.248483206,0.16234775,0.184792683
12,0,,0.133214458,0.222264904,0.13349143,0.248351017,0.172657463,0.16261776,0.215552053,0.229119317,0.344709032,0.19330036
12.1,0,,0.203293953,0.204147692,0.220772477,0.161878687,0.175005045,0.136513688,0.291722268,0.21814769,0.235245978,0.17724657
12.2,0,,0.201624151,0.202653846,0.152491242,0.191782486,0.114468752,0.16374936,0.239232113,0.224947873,0.136729452,0.109685947
12.3,0,,0.100828926,0.151978313,0.1476217,0.185893821,0.22172255,0.282749413,0.158033741,0.117123795,0.199628387,0.162666642
12.4,0,,0.194258685,0.080951564,0.196592004,0.222952543,0.248063374,0.228219253,0.243326151,0.294468772,0.204243316,0.184939578
12.5,0,,0.098653164,0.196624348,0.041500692,0.17726265,0.23905101,0.210900308,0.045701547,0.249954868,0.24414123,0.156478595
12.6,0,,0.224820753,0.167133349,0.191205375,0.254248565,0.209191652,0.236088208,0.223631046,0.215286766,0.229544056,0.141246048
12.7,0,,0.151821426,0.258361637,0.142611792,0.188722526,0.342115988,0.21483218,0.223592781,0.122551249,0.176704598,0.180372097
12.8,0,,0.174055704,0.221382907,0.208840313,0.222831063,0.262159694,0.138965584,0.217416452,0.222212847,0.219939498,0.213899516
12.9,0,,0.102537737,0.121164091,0.150153941,0.21206123,0.268648249,0.194759814,0.245989023,0.160193143,0.147375364,0.142583392
13,0,,0.134346662,0.160556912,0.211084441,0.106912791,0.192749702,0.20146237,0.224061513,0.179753396,0.100446976,0.286918167
13.1,0,,0.182455082,0.242377631,0.169136368,0.24985339,0.210015813,0.189216373,0.213126176,0.232689212,0.203665731,0.153322461
13.2,0,,0.227210528,0.155283806,0.317387272,0.308318201,0.240749066,0.250729957,0.254014472,0.089223012,0.112793844,0.203883578
13.3,0,,0.187625248,0.214898238,0.276572921,0.185372319,0.224783646,0.146984981,0.176233922,0.241525248,0.097953752,0.240455559
13.4,0,,0.195188195,0.232488701,0.190189851,0.239044948,0.120321301,0.153357361,0.204644943,0.140771778,0.15417575,0.27724038
13.5,0,,0.106258723,0.177351548,0.239093112,0.145871108,0.162239677,0.236139692,0.127975359,0.22672368,0.245295075,0.093722707
13.6,0,,0.111879787,0.195910627,0.118667524,0.152302059,0.15618171,0.1316851,0.262316967,0.243354326,0.186578443,0.160845007
13.7,0,,0.264065259,0.229345245,0.201405018,0.246838133,0.289175386,0.169223272,0.110548114,0.178520838,0.179491533,0.20781731
13.8,0,,0.309966758,0.173443746,0.241587653,0.181619408,0.109125006,0.153937485,0.23656131,0.177965887,0.23590756,0.264287116
13.9,0,,0.141016553,0.197319034,0.112119715,0.15664458,0.149034751,0.213950023,0.194281314,0.297098355,0.273592126,0.185318059
14,0,,0.191898614,0.210582694,0.276100581,0.203265551,0.158283378,0.207434228,0.1568555,0.217464896,0.172441176,0.209418081
14.1,0,,0.094882668,0.205889446,0.19009677,0.16578687,0.114708499,0.204596358,0.197600483,0.164229344,0.188616458,0.218011781
14.2,0,,0.186588064,0.183103697,0.178528941,0.184700134,0.176406411,0.201382078,0.113340378,0.305652588,0.200684655,0.100344508
14.3,0,,0.195061715,0.199663195,0.137624415,0.229496873,0.227337531,0.316195266,0.235922597,0.181462763,0.232484997,0.258663206
14.4,0,,0.22597551,0.137498244,0.132162721,0.262054952,0.255042607,0.248086393,0.140417228,0.236728421,0.23286621,0.164536641
14.5,0,,0.124196166,0.29504573,0.214698424,0.204869032,0.255188261,0.176230073,0.107698334,0.337546366,0.124517731,0.243153854
14.6,0,,0.173455078,0.130792124,0.204663766,0.177097101,0.140089784,0.310752452,0.232664904,0.185013848,0.166670463,0.143533561
14.7,0,,0.228970267,0.182106012,0.158429332,0.236268974,0.140186679,0.172637034,0.146657619,0.220768323,0.201803863,0.073984406
14.8,0,,0.161192375,0.235904675,0.214206727,0.179510457,0.184083206,0.284097155,0.207353515,0.196401792,0.230473233,0.208949682
14.9,0,,0.25388593,0.088010513,0.154766648,0.219836956,0.232968531,0.22167279,0.172312259,0.174142309,0.080242308,0.186201302
15,1,135,0.26883356,0.222846437,0.270421522,0.206632972,0.156947613,0.260238425,0.150690146,0.199713608,0.226470091,0.206798921
15.1,1,135,0.281868976,0.214366787,0.380965205,0.366598432,0.313437111,0.320914976,0.26314519,0.330099734,0.279059423,0.329420496
15.2,1,135,0.309576746,0.329784149,0.385253193,0.512181537,0.388532967,0.454665679,0.442534492,0.545893651,0.472769993,0.366286049
15.3,1,135,0.43981649,0.489240161,0.43791393,0.690440534,0.464231517,0.468132138,0.453083323,0.673150546,0.487434908,0.391851117
15.4,1,135,0.519142571,0.524732584,0.63056742,0.870931842,0.505403624,0.470796197,0.414040484,0.828832051,0.476845112,0.41495582
15.5,1,135,0.596711758,0.653921825,0.532368306,0.96395555,0.604306887,0.601568569,0.507711691,0.95619257,0.53190412,0.555886218
15.6,1,135,0.617998789,0.620157358,0.550292713,0.959304522,0.677969162,0.691456815,0.641235038,1.081570772,0.571861508,0.590004565
15.7,1,135,0.613020051,0.635112454,0.624145896,1.138612256,0.571492808,0.667576637,0.61590812,1.089341015,0.621003443,0.686640248
15.8,1,135,0.589468142,0.610973423,0.755074343,1.183109349,0.711490168,0.676653207,0.79434822,1.144366241,0.678704204,0.677012425
15.9,1,135,0.678117032,0.627850147,0.721308091,1.207578428,0.644490029,0.763767038,0.75298924,1.259041131,0.735977887,0.626157757
16,1,135,0.683110175,0.689206111,0.789118592,1.195324427,0.67820797,0.689371559,0.71305748,1.215626949,0.703546105,0.607451831
16.1,1,135,0.657768433,0.623763309,0.641710623,1.212643934,0.721834655,0.706575553,0.676796505,1.270713263,0.735505822,0.694681923
16.2,1,135,0.621210996,0.627516814,0.712652479,1.02679267,0.661548609,0.610662131,0.713954021,1.100987216,0.738062814,0.544315811
16.3,1,135,0.606010148,0.672608923,0.601003132,1.082651084,0.636137235,0.666667644,0.614609485,0.982138155,0.638934587,0.702921445
16.4,1,135,0.606515723,0.589574123,0.422109846,1.062652817,0.539103039,0.520857485,0.50188944,0.96245937,0.557807132,0.547826147
16.5,1,135,0.417884702,0.391028916,0.479102643,0.794633699,0.510560969,0.437526122,0.64724948,0.778181302,0.484448011,0.581271614
16.6,1,135,0.518418179,0.454838004,0.418991782,0.664210616,0.373337277,0.457355152,0.47891046,0.704429814,0.530674567,0.513144891
16.7,1,135,0.323376942,0.359143635,0.426791964,0.50120553,0.38802478,0.336587431,0.410859379,0.579304934,0.399848014,0.375338578
16.8,1,135,0.29022227,0.2072861,0.293575586,0.33415383,0.362360212,0.315313615,0.205656465,0.451942441,0.294173916,0.206443506
16.9,1,135,0.138986942,0.241396654,0.268809434,0.148928789,0.229517236,0.339618448,0.118764285,0.138413766,0.187714476,0.30856155
17,0,,0.185791808,0.207393874,0.142858478,0.242193798,0.249676317,0.181508938,0.207393975,0.185693939,0.1845945,0.316406428
17.1,0,,0.175469547,0.208032901,0.226309467,0.250951245,0.2462999,0.180262826,0.20473535,0.185329118,0.204838871,0.197355332
17.2,0,,0.187115471,0.180113458,0.253292381,0.18612612,0.170702326,0.191650872,0.167010543,0.194402542,0.245188219,0.206651645
17.3,0,,0.252687341,0.20249089,0.183389829,0.311707136,0.180420094,0.215606323,0.141189735,0.106830319,0.298967119,0.229540701
17.4,0,,0.313969239,0.255544378,0.255900657,0.179191401,0.191065511,0.267122514,0.154876092,0.154970625,0.265584153,0.304712829
17.5,0,,0.213145565,0.169538171,0.237368546,0.140562365,0.151279256,0.206901041,0.232215519,0.212248275,0.242913002,0.198223763
17.6,0,,0.220065689,0.313453725,0.179804881,0.246457845,0.209757845,0.256080444,0.11409146,0.087055337,0.254715061,0.131672697
17.7,0,,0.229650565,0.229360415,0.21805532,0.213032007,0.236531585,0.168317872,0.259989194,0.19537034,0.151640684,0.181577149
17.8,0,,0.182118316,0.125467769,0.170316511,0.224189398,0.24378741,0.189360112,0.188912931,0.129868312,0.169767322,0.13910481
17.9,0,,0.295327953,0.228779686,0.22673206,0.172084605,0.224582412,0.219125534,0.172484458,0.187959124,0.225238314,0.2721802
18,0,,0.184070941,0.223888757,0.227136852,0.122870751,0.23810678,0.164226528,0.218589566,0.217669896,0.230685574,0.137612915
18.1,0,,0.229010667,0.222204622,0.240304529,0.252270469,0.179320589,0.274153882,0.214504705,0.186402121,0.205544947,0.201267117
18.2,0,,0.214080707,0.16334726,0.2027654,0.201887867,0.211224865,0.227582182,0.074269133,0.165562735,0.207970436,0.198852031
18.3,0,,0.189204481,0.232537792,0.179314477,0.183906818,0.267802762,0.227199677,0.214316814,0.194936415,0.163978952,0.255649702
18.4,0,,0.293127163,0.172787561,0.262910313,0.192318155,0.154126458,0.211918421,0.211931324,0.22148394,0.13252914,0.173219176
18.5,0,,0.190843956,0.156451613,0.133883794,0.202951591,0.238130074,0.121102456,0.097361376,0.296491146,0.191758559,0.255293322
18.6,0,,0.234326668,0.253120801,0.193703841,0.212209473,0.215777252,0.314099927,0.126996763,0.16877098,0.240628134,0.166909543
18.7,0,,0.224379295,0.125948179,0.186935692,0.234390079,0.195248362,0.173247202,0.22863152,0.337857313,0.136666747,0.240077796
18.8,0,,0.207135246,0.160619163,0.182434149,0.138072553,0.256369638,0.207184764,0.222640362,0.184604199,0.15159481,0.107987232
18.9,0,,0.260044957,0.233532854,0.179215444,0.25417237,0.174966192,0.312879811,0.23459611,0.160036288,0.282409979,0.335046738
19,0,,0.186790469,0.163631442,0.154632062,0.182395082,0.182068096,0.230691461,0.258210558,0.264157346,0.225843694,0.316366685
19.1,0,,0.203444861,0.235051522,0.195910845,0.283482368,0.283490692,0.270407536,0.2329162,0.021941702,0.115991688,0.193068449
19.2,0,,0.218496452,0.111617742,0.245610681,0.269719901,0.231397468,0.10628333,0.248323423,0.206116829,0.201257218,0.311992318
19.3,0,,0.223541869,0.163014298,0.340214366,0.240314438,0.174805435,0.142477784,0.268396266,0.086456367,0.278999696,0.234013494
19.4,0,,0.209653158,0.058531055,0.276800187,0.173298124,0.131844098,0.247026169,0.218681117,0.271588274,0.264586034,0.187392004
19.5,0,,0.255865912,0.22338348,0.133769337,0.203185264,0.207370686,0.250321926,0.188851833,0.226342879,0.162735825,0.231301908
19.6,0,,0.168863563,0.181773996,0.19375785,0.149972618,0.190278106,0.090968505,0.183523362,0.333506261,0.205419962,0.179588638
19.7,0,,0.212052862,0.256027689,0.183185445,0.247024199,0.198106102,0.220229386,0.220541663,0.182207464,0.219413344,0.169682018
19.8,0,,0.225816225,0.11659297,0.172465819,0.194865087,0.305732621,0.278470328,0.153120739,0.133242691,0.115021077,0.237944163
19.9,0,,0.184797226,0.161406334,0.222655896,0.270105282,0.152844853,0.079080532,0.296971283,0.210267661,0.241002432,0.106716156
20,1,0,0.249033178,0.219510586,0.191435053,0.157594605,0.15875184,0.19747659,0.110898379,0.182371429,0.190235828,0.174360426
20.1,1,0,0.421302548,0.233855339,0.274377172,0.313887423,0.313117239,0.226170867,0.244567798,0.295596812,0.338175713,0.253434673
20.2,1,0,0.497887456,0.355152788,0.379043103,0.321694791,0.524181784,0.349253502,0.463677488,0.451776048,0.544772687,0.331361563
20.3,1,0,0.538382117,0.436129385,0.351421834,0.447801106,0.674650332,0.397256364,0.415574588,0.396823568,0.697652643,0.48476816
20.4,1,0,0.815020293,0.50615141,0.589034914,0.502521402,0.834550868,0.538196693,0.497552917,0.548005083,0.764628189,0.570122517
20.5,1,0,0.928564744,0.549804762,0.475773802,0.610229282,0.952068775,0.526736746,0.605039582,0.570578142,1.000801606,0.544288299
